Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"51.91400","0.10462","0.10827"
"52.01400","0.19078","0.22708"
"52.11400","0.27589","0.73237"
"52.21400","0.36099","2.12433"
"52.31400","0.44625","4.83516"
"52.41400","0.53110","8.97966"
"52.50700","0.61062","14.00140"
"52.58800","0.67926","19.02991"
"52.66100","0.74171","24.05826"
"52.72900","0.79965","29.06704"
"52.79100","0.85217","33.83478"
"52.79200","0.85302","33.91392"
"52.79300","0.85386","33.99300"
"52.89300","0.83691","30.47575"
"52.94000","0.79328","25.41508"
"52.99600","0.74395","20.38571"
"53.06300","0.68628","15.33246"
"53.14500","0.61667","10.28095"
"53.24500","0.53117","5.57576"
"53.34500","0.44630","2.56119"
"53.44500","0.36086","0.92758"
"53.54500","0.27599","0.28520"
"53.64500","0.19070","0.11937"
"53.74500","0.10564","0.06878"
"53.84500","0.02053","0.05712"
"53.86900","-0.00004","0.05670"
"53.87000","-0.00090","0.05640"
"53.87100","-0.00175","0.05602"
"53.97100","0.01419","0.07038"
"54.07100","0.10527","0.10731"
"54.17100","0.19144","0.22875"
"54.27100","0.27653","0.73237"
"54.37100","0.36166","2.11990"
"54.47100","0.44690","4.81656"
"54.57100","0.53176","8.96100"
"54.66400","0.61126","13.97922"
"54.74500","0.67991","19.02208"
"54.81800","0.74237","24.02852"
"54.88600","0.80031","29.05758"
"54.94700","0.85198","33.74547"
"54.94800","0.85283","33.82407"
"54.94900","0.85367","33.90271"
"55.04900","0.83672","30.38238"
"55.09600","0.79310","25.32960"
"55.15200","0.74375","20.31349"
"55.21900","0.68610","15.26184"
"55.30100","0.61648","10.21837"
"55.40100","0.53097","5.53156"
"55.50100","0.44612","2.52569"
"55.60100","0.36068","0.91381"
"55.70100","0.27581","0.27586"
"55.80100","0.19050","0.11048"
"55.90100","0.10544","0.06200"
"56.00100","0.02034","0.04561"
"56.02500","-0.00022","0.04507"
"56.02600","-0.00108","0.04544"
"56.02700","-0.00193","0.04583"
"56.12700","0.01400","0.07405"
"56.22700","0.10506","0.10993"
"56.32700","0.19123","0.22462"
"56.42700","0.27632","0.72043"
"56.52700","0.36144","2.08343"
"56.62700","0.44670","4.76909"
"56.72700","0.53154","8.90207"
"56.82000","0.61105","13.90710"
"56.90100","0.67971","18.92973"
"56.97400","0.74216","23.94090"
"57.04200","0.80009","28.95498"
"57.10300","0.85178","33.65065"
"57.10400","0.85263","33.72940"
"57.10500","0.85347","33.80822"
"57.20500","0.83658","30.31056"
"57.25200","0.79290","25.23850"
"57.30800","0.74358","20.22622"
"57.37500","0.68590","15.19212"
"57.45700","0.61628","10.15525"
"57.55700","0.53076","5.48468"
"57.65700","0.44591","2.49805"
"57.75700","0.36049","0.89435"
"57.85700","0.27561","0.27596"
"57.95700","0.19030","0.11380"
"58.05700","0.10524","0.07363"
"58.15700","0.02015","0.04378"
"58.18100","-0.00043","0.04038"
"58.18200","-0.00128","0.04061"
"58.18300","-0.00214","0.04088"
"58.28300","0.01406","0.07031"
"58.38300","0.10490","0.11229"
"58.48300","0.19105","0.22501"
"58.58300","0.27614","0.70626"
"58.68300","0.36126","2.05984"
"58.78300","0.44651","4.72682"
